observation,internet_email,handheld,often_internet,social_media,internet_subscriber,type_internet,own_cell_phone,smartphone,connection_problems,twitter,instagram,facebook,snapchat,youtube,twitter_usage,instagram_usage,facebook_usage,snapchat_usage,youtube_usage,books,gender,household_people,age,employment_status,political_party
1356,Yes,Yes,4 - Several times a week,Yes,No,No internet subscription,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,4 - Several times a week,Don't Know,Man,1.00,75.00,Not employed,Independent
1357,Yes,Yes,2 - Several times a day,No,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,No,No,Yes,Does not use,Does not use,Does not use,Does not use,4 - Several times a week,3.00,Man,3.00,62.00,Full-time,Independent
1358,No,No,No Internet,No,No,No internet subscription,Yes,No,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,0.00,Man,2.00,65.00,Retired,Independent
1359,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,Yes,Yes,5 - Few times a month or less,4 - Several times a week,1 - Almost constantly,3 - About once a day,4 - Several times a week,0.00,Man,1.00,56.00,Full-time,Independent
1360,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,1 - Often,Yes,Yes,Yes,Yes,Yes,1 - Almost constantly,1 - Almost constantly,3 - About once a day,1 - Almost constantly,1 - Almost constantly,7.00,Man,3.00,22.00,Not employed,Democrat
1361,Yes,Yes,5 - Few times a month or less,No,No,No internet subscription,Yes,Don't Know,4 - Never,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,,Man,1.00,62.00,Not employed,Democrat
1362,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,2 - Several times a day,Does not use,3 - About once a day,4.00,Woman,2.00,55.00,Full-time,Democrat
1363,No,No,No Internet,No,No,No internet subscription,Yes,No,No internet,No,No,No,No,No,Does not use,Does not use,Does not use,Does not use,Does not use,0.00,Man,1.00,68.00,Other,Independent
1364,Yes,Yes,2 - Several times a day,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,No,No,Yes,No,Yes,Does not use,Does not use,1 - Almost constantly,Does not use,1 - Almost constantly,5.00,Man,2.00,60.00,Not employed,Don't Know
1365,Yes,Yes,1 - Almost constantly,Yes,Yes,Higher-speed,Yes,Yes,3 - Rarely,Yes,Yes,Yes,No,Yes,3 - About once a day,1 - Almost constantly,3 - About once a day,Does not use,2 - Several times a day,2.00,Woman,,49.00,Full-time,Democrat
